node,degree,pagerank,pagerank_norm,kcore,membership
ENSG00000075785,372,0.000531685078674716,0.285857677159431,206,4
ENSG00000175175,171,0.000247470697684592,0.122478045748331,135,3
ENSG00000137076,164,0.00148732134661205,0.835201804908214,30,8
ENSG00000107295,158,0.000235523692493369,0.115610352080584,118,3
ENSG00000132872,154,0.000225692433788225,0.109958887795216,118,3
ENSG00000038274,449,0.000518908313618695,0.278512998968951,234,5
ENSG00000157077,455,0.000648725818561793,0.353138132413725,215,3
ENSG00000151320,422,0.000503783303130999,0.269818440199756,215,3
ENSG00000138018,332,0.000451582690855916,0.239811102910117,207,5
ENSG00000084070,425,0.00048850380549226,0.261035075038334,234,3
ENSG00000135940,149,0.000198556296869252,0.0943597754902798,122,4
ENSG00000125868,693,0.000779112866551849,0.428090665664099,234,4
ENSG00000109436,513,0.000593644618754698,0.321474899572326,234,3
ENSG00000141030,597,0.000687322411747975,0.375325247458765,234,4
ENSG00000172500,382,0.000460781765994354,0.245099158708719,234,4
ENSG00000082458,754,0.000958469658024442,0.53119328270897,234,3
ENSG00000255302,349,0.00041268645970924,0.217451742043555,227,4
ENSG00000127463,562,0.000643300151615441,0.350019206964681,234,4
ENSG00000144290,140,0.000219680801431706,0.106503122203182,107,3
ENSG00000089693,424,0.000503680719752852,0.269759470507751,234,5
ENSG00000113387,299,0.000347045720133348,0.179718395123879,221,4
ENSG00000158985,473,0.000567163742768144,0.306252461696192,234,5
ENSG00000196972,25,7.30903942497283e-05,0.0222361452459997,24,3
ENSG00000115252,102,0.000222135416353494,0.107914148906971,80,3
ENSG00000097021,312,0.000371238524676058,0.193625543225319,207,3
ENSG00000091972,203,0.000269809684951942,0.135319533547514,149,3
ENSG00000171224,369,0.000427897900347331,0.226195984878929,218,3
ENSG00000185518,253,0.000366235511457542,0.190749578776446,148,3
ENSG00000140262,154,0.00134455947910151,0.75313565043645,30,8
ENSG00000085365,286,0.000373776863828643,0.19508469850698,209,5
ENSG00000147224,443,0.00051180266866243,0.274428344104378,234,4
ENSG00000173786,29,0.000502847762439676,0.26928064794313,12,8
ENSG00000146267,254,0.000401713554282144,0.21114400617902,146,3
ENSG00000068308,509,0.000634660371064071,0.345052659680768,234,5
ENSG00000085415,528,0.000606174175267812,0.328677470806497,234,3
ENSG00000019505,354,0.000480703585869907,0.256551146384245,186,3
ENSG00000164332,408,0.000471324267445508,0.251159478370378,234,4
ENSG00000152503,169,0.000254253202340313,0.12637694455435,122,3
ENSG00000113558,525,0.000609294416872779,0.33047113065424,234,4
ENSG00000180488,464,0.000560911775744518,0.302658540571033,234,4
ENSG00000091513,25,0.00039197725351789,0.205547128130028,12,8
ENSG00000068615,282,0.000364146686156116,0.189548824941822,175,3
